NOME;CATEGORIA
A SA�DE DA MULHER;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
AAS;ANALGESICOS NAO NARCOTICOS
AAS PROTECT;ANTIAGREGANTE PLAQUETARIO
ABBA;AGENTES ANTINEOPL�SICOS
ABC;ANTIMICOTICOS PARA USO TOPICO
ABCLER ABNAT;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
ABELCET;ANTI-FUNGICOS
ABERALGINA;ANALGESICOS NAO NARCOTICOS
ABIDOR;ANALGESICOS
ABLOK;BETABLOQUEADORES SIMPLES
ABLOK PLUS;ANTI-HIPERTENSIVOS
ABRAXANE;AGENTES ANTINEOPL�SICOS
ABRETIA;ANTIDEPRESSIVOS
ABRIFIT;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
ABRILAR;EXPECTORANTES + FITOTERAPICO SIMPLES
ACCUVIT;VITAMINAS E SUPLEMENTOS MINERAIS
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACEBROFILINA;BRONCODILATADORES
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLOFENACO;ANTINFLAMATORIOS
ACECLO-GRAN;ANTINFLAMATORIOS
ACEFLOR;ANTINFLAMATORIOS
ACERATUM;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA
ACERTALIX;ANTI-HIPERTENSIVOS
ACERTANLO;ANTI-HIPERTENSIVOS
ACERTIL;ANTI-HIPERTENSIVOS
ACESYL;VITAMINAS E SUPLEMENTOS MINERAIS
ACETATO DE ABIRATERONA;AGENTES ANTINEOPL�SICOS
ACETATO DE ABIRATERONA;OUTROS ANTINEOPLASICOS
ACETATO DE ABIRATERONA;ANTINEOPLASICO
ACETATO DE ABIRATERONA;OUTROS ANTINEOPLASICOS
ACETATO DE ABIRATERONA;ANTINEOPLASICO
ACETATO DE ATOSIBANA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
ACETATO DE ATOSIBANA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
ACETATO DE CASPOFUNGINA;ANTI-FUNGICOS
ACETATO DE CIPROTERONA;PROGESTAGENOS SIMPLES
ACETATO DE CIPROTERONA + ETINILESTRADIOL;PRODUTOS ANTI-ACNE
ACETATO DE CIPROTERONA + ETINILESTRADIOL;ANDROGENOS SIMPLES
ACETATO DE CIPROTERONA + ETINILESTRADIOL;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
ACETATO DE CIPROTERONA + ETINILESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CIPROTERONA+ETINILESTRADIOL;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACETATO DE CIPROTERONA+ETINILESTRADIOL;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACETATO DE CIPROTERONA+ETINILESTRADIOL;ANDROGENOS SIMPLES
ACETATO DE CLOMARDINONA + ETINILDESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CLOMARDINONA + ETINILDESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ANTICONCEPCIONAIS
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;CERATOLITICOS E CERATOPLASTICOS
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;CERATOLITICOS E CERATOPLASTICOS
ACETATO DE DESMOPRESSINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;ANTINFLAMATORIOS
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES SISTEMICOS
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;HORMONIOS CORTICOSTEROIDES
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE GLATIR�MER;IMUNOMODULADOR
ACETATO DE HIDROCORTISONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE HIDROCORTISONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE OCTREOTIDA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
ACETATO DE PREDNISOLONA;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
ACETATO DE PREDNISOLONA;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
ACETATO DE S�DIO;ELETROLITOS SIMPLES
ACETATO DE ZINCO 0,5 MEQ/ML;SOLU��ES QUE AJUSTAM O BALAN�O ELETROL�TICO
ACETAZONA;GLICOCORTICOIDES SISTEMICOS
ACETICIL;ANALGESICOS
ACETILASA;ANALGESICOS NAO NARCOTICOS
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
